"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
HHS Regions,Region 1,2015,40,693,2,3,0.721501,0.29,0.43
HHS Regions,Region 2,2015,40,1220,5,0,0.409836,0.41,0
HHS Regions,Region 3,2015,40,896,0,1,0.111607,0,0.11
HHS Regions,Region 4,2015,40,2486,24,16,1.60901,0.97,0.64
HHS Regions,Region 5,2015,40,2138,14,3,0.795136,0.65,0.14
HHS Regions,Region 6,2015,40,1773,8,16,1.35364,0.45,0.9
HHS Regions,Region 7,2015,40,621,2,1,0.483092,0.32,0.16
HHS Regions,Region 8,2015,40,824,1,1,0.242718,0.12,0.12
HHS Regions,Region 9,2015,40,981,25,2,2.75229,2.55,0.2
HHS Regions,Region 10,2015,40,397,3,0,0.755668,0.76,0
HHS Regions,Region 1,2015,41,752,11,4,1.99468,1.46,0.53
HHS Regions,Region 2,2015,41,1367,4,2,0.438917,0.29,0.15
HHS Regions,Region 3,2015,41,1097,2,4,0.546946,0.18,0.36
HHS Regions,Region 4,2015,41,2759,38,14,1.88474,1.38,0.51
HHS Regions,Region 5,2015,41,2357,15,6,0.890963,0.64,0.25
HHS Regions,Region 6,2015,41,1952,10,16,1.33197,0.51,0.82
HHS Regions,Region 7,2015,41,690,5,5,1.44928,0.72,0.72
HHS Regions,Region 8,2015,41,843,3,0,0.355872,0.36,0
HHS Regions,Region 9,2015,41,926,23,3,2.80778,2.48,0.32
HHS Regions,Region 10,2015,41,368,5,0,1.3587,1.36,0
HHS Regions,Region 1,2015,42,708,4,3,0.988701,0.56,0.42
HHS Regions,Region 2,2015,42,1395,1,2,0.215054,0.07,0.14
HHS Regions,Region 3,2015,42,1013,5,9,1.38203,0.49,0.89
HHS Regions,Region 4,2015,42,2981,61,13,2.48239,2.05,0.44
HHS Regions,Region 5,2015,42,2484,5,8,0.523349,0.2,0.32
HHS Regions,Region 6,2015,42,1937,6,15,1.08415,0.31,0.77
HHS Regions,Region 7,2015,42,724,6,0,0.828729,0.83,0
HHS Regions,Region 8,2015,42,876,2,2,0.456621,0.23,0.23
HHS Regions,Region 9,2015,42,935,6,0,0.641711,0.64,0
HHS Regions,Region 10,2015,42,388,1,0,0.257732,0.26,0
HHS Regions,Region 1,2015,43,716,1,1,0.27933,0.14,0.14
HHS Regions,Region 2,2015,43,1414,7,3,0.707214,0.5,0.21
HHS Regions,Region 3,2015,43,1034,1,3,0.386847,0.1,0.29
HHS Regions,Region 4,2015,43,2886,47,26,2.52945,1.63,0.9
HHS Regions,Region 5,2015,43,2594,13,6,0.73246,0.5,0.23
HHS Regions,Region 6,2015,43,1774,20,5,1.40924,1.13,0.28
HHS Regions,Region 7,2015,43,742,4,5,1.21294,0.54,0.67
HHS Regions,Region 8,2015,43,943,1,1,0.212089,0.11,0.11
HHS Regions,Region 9,2015,43,969,3,1,0.412797,0.31,0.1
HHS Regions,Region 10,2015,43,465,1,1,0.430108,0.22,0.22
HHS Regions,Region 1,2015,44,781,0,1,0.128041,0,0.13
HHS Regions,Region 2,2015,44,1366,6,2,0.585652,0.44,0.15
HHS Regions,Region 3,2015,44,1171,2,6,0.683177,0.17,0.51
HHS Regions,Region 4,2015,44,3345,45,33,2.33184,1.35,0.99
HHS Regions,Region 5,2015,44,2645,13,10,0.869565,0.49,0.38
HHS Regions,Region 6,2015,44,1985,16,7,1.15869,0.81,0.35
HHS Regions,Region 7,2015,44,783,2,4,0.766284,0.26,0.51
